sn,sensor,frameNumSource,missingFrameNum
CPBG1630011D,color,hw,18259
CPBG1630011D,color,hw,18337
CPBG1630011D,color,hw,18685
CPBG1630011D,color,hw,18967
CPBG1630011D,color,hw,19016
CPBG1630011D,color,hw,19093
CPBG1630011D,color,hw,19101
CPBG1630011D,color,hw,19329
CPBG1630011D,color,hw,19627
CPBG1630011D,color,hw,19810
CPBG1630011D,color,hw,19877
CPBG1630011D,color,hw,19895
CPBG1630011D,color,hw,20126
CPBG1630011D,color,hw,20134
CPBG1630011D,color,hw,20150
CPBG1630011D,color,hw,20159
CPBG1630011D,color,hw,20345
CPBG1630011D,color,hw,20612
CPBG1630011D,color,hw,20927
CPBG1630011D,color,hw,21258
CPBG1630011D,color,hw,21583
CPBG1630011D,color,hw,21628
CPBG1630011D,color,hw,21744
CPBG1630011D,color,hw,21835
CPBG1630011D,color,hw,21961
CPBG1630011D,color,hw,22094
CPBG1630011D,color,hw,22487
CPBG1630011D,color,hw,22543
CPBG1630011D,color,hw,22807
CPBG1630011D,color,hw,22903
CPBG1630011D,color,hw,23287
CPBG1630011D,color,hw,23466
CPBG1630011D,color,hw,23598
CPBG1630011D,color,hw,23776
CPBG1630011D,color,hw,23822
CPBG1630011D,color,hw,23907
CPBG1630011D,color,hw,23998
CPBG1630011D,color,hw,24066
CPBG1630011D,color,hw,24219
CPBG1630011D,color,hw,24307
CPBG1630011D,color,hw,24334
CPBG1630011D,color,hw,24812
CPBG1630011D,color,hw,24915
CPBG1630011D,color,hw,24917
CPBG1630011D,color,hw,24961
CPBG1630011D,color,hw,25221
CPBG1630011D,color,hw,25331
CPBG1630011D,color,hw,25345
CPBG1630011D,color,hw,25521
CPBG1630011D,color,hw,25572
CPBG1630011D,color,hw,25576
CPBG1630011D,color,hw,25578
CPBG1630011D,color,hw,25628
CPBG1630011D,color,hw,25749
CPBG1630011D,color,hw,25864
CPBG1630011D,color,hw,26242
CPBG1630011D,color,hw,26708
CPBG1630011D,color,hw,26986
CPBG1630011D,color,hw,27081
CPBG1630011D,color,hw,27262
CPBG1630011D,color,hw,27446
CPBG1630011D,color,hw,27831
CPBG1630011D,color,hw,27841
CPBG1630011D,color,hw,27922
CPBG1630011D,color,hw,27978
CPBG1630011D,color,hw,28223
CPBG1630011D,color,hw,28274
CPBG1630011D,color,hw,28351
CPBG1630011D,color,hw,28382
CPBG1630011D,color,hw,28420
CPBG1630011D,color,hw,28561
CPBG1630011D,color,hw,28607
CPBG1630011D,color,hw,29376
CPBG1630011D,color,hw,29823
CPBG1630011D,color,hw,30007
CPBG1630011D,color,hw,30039
CPBG1630011D,color,hw,30497
CPBG1630011D,color,hw,30604
CPBG1630011D,color,hw,31128
CPBG1630011D,color,hw,31345
CPBG1630011D,color,hw,31364
CPBG1630011D,color,hw,31436
CPBG1630011D,color,hw,31785
CPBG1630011D,color,hw,31866
CPBG1630011D,color,hw,31907
