deviceIndex,streamType,hwTimestampUs,globalTimestampUs,sysTimestampUs,frameNumber,,device1 globaltime ,device2 globaltime,device2-device0,device2-device1
0,COLOR,1787124603557903,1787124603560577,1787124603576731,32,,1787124603560273,1787124603559512,-1060,-760
0,COLOR,1787124603591236,1787124603593910,1787124603609970,33,,1787124603593602,1787124603592833,-1080,-770
0,COLOR,1787124603624572,1787124603627246,1787124603643658,34,,1787124603626935,1787124603626157,-1090,-780
0,COLOR,1787124603657909,1787124603660583,1787124603677038,35,,1787124603660269,1787124603659482,-1100,-780
0,COLOR,1787124603691249,1787124603693922,1787124603709897,36,,1787124603693606,1787124603692810,-1110,-790
0,COLOR,1787124603724567,1787124603727241,1787124603743623,37,,1787124603726920,1787124603726118,-1130,-810
0,COLOR,1787124603757905,1787124603760578,1787124603776878,38,,1787124603760255,1787124603759444,-1130,-810
0,COLOR,1787124603791238,1787124603793911,1787124603810207,39,,1787124603793585,1787124603792765,-1150,-820
0,COLOR,1787124603824574,1787124603827247,1787124603843534,40,,1787124603826919,1787124603826090,-1150,-820
0,COLOR,1787124603857907,1787124603860580,1787124603877001,41,,1787124603860247,1787124603859411,-1170,-830
0,COLOR,1787124603891237,1787124603893910,1787124603910402,42,,1787124603893574,1787124603892729,-1190,-850
0,COLOR,1787124603924572,1787124603927245,1787124603943724,43,,1787124603926907,1787124603926053,-1190,-850
0,COLOR,1787124603957907,1787124603960580,1787124603976923,44,,1787124603960239,1787124603959377,-1210,-860
0,COLOR,1787124603991240,1787124603993913,1787124604010259,45,,1787124603993569,1787124603992699,-1220,-870
0,COLOR,1787124604024573,1787124604027246,1787124604043561,46,,1787124604026899,1787124604026020,-1220,-870
0,COLOR,1787124604057909,1787124604060582,1787124604076960,47,,1787124604060231,1787124604059343,-1240,-890
0,COLOR,1787124604091242,1787124604093915,1787124604110006,48,,1787124604093561,1787124604092665,-1250,-900
0,COLOR,1787124604124576,1787124604127249,1787124604143240,49,,1787124604126892,1787124604126864,-380,-30
0,COLOR,1787124604157902,1787124604160575,1787124604176889,50,,1787124604160216,1787124604160185,-390,-30
0,COLOR,1787124604191242,1787124604194089,1787124604210425,51,,1787124604194004,1787124604193518,-570,-490
0,COLOR,1787124604224575,1787124604227423,1787124604243543,52,,1787124604227336,1787124604226845,-580,-490
0,COLOR,1787124604257909,1787124604260758,1787124604277050,53,,1787124604260670,1787124604260172,-580,-500
0,COLOR,1787124604291242,1787124604294092,1787124604310655,54,,1787124604294003,1787124604293500,-590,-500
0,COLOR,1787124604324583,1787124604327434,1787124604343848,55,,1787124604327344,1787124604326835,-600,-510
0,COLOR,1787124604357918,1787124604360770,1787124604377042,56,,1787124604360678,1787124604360163,-610,-510
0,COLOR,1787124604391255,1787124604394108,1787124604410532,57,,1787124604394015,1787124604393495,-610,-520
0,COLOR,1787124604424581,1787124604427434,1787124604443740,58,,1787124604427340,1787124604426814,-620,-530
0,COLOR,1787124604457912,1787124604460766,1787124604477234,59,,1787124604460670,1787124604460139,-630,-540
0,COLOR,1787124604491245,1787124604494100,1787124604510503,60,,1787124604494003,1787124604493465,-640,-540
0,COLOR,1787124604524584,1787124604527440,1787124604543629,61,,1787124604527342,1787124604526799,-650,-550
0,COLOR,1787124604557912,1787124604560769,1787124604576900,62,,1787124604560669,1787124604560121,-640,-540
0,COLOR,1787124604591253,1787124604594111,1787124604610067,63,,1787124604594010,1787124604593456,-660,-560
0,COLOR,1787124604624577,1787124604627436,1787124604643323,64,,1787124604627333,1787124604626766,-670,-570
0,COLOR,1787124604657907,1787124604660767,1787124604676947,65,,1787124604660663,1787124604660090,-670,-570
0,COLOR,1787124604691256,1787124604694117,1787124604710029,66,,1787124604694010,1787124604693433,-680,-580
0,COLOR,1787124604724582,1787124604727443,1787124604743224,67,,1787124604727336,1787124604726753,-690,-580
