comparison_type,device_i,device_j,stream,hw_diff_us,sys_diff_us,timestamp_us
cross_stream,0,0,depth+color,4,0,1784283622765273
cross_stream,0,0,depth+color,5,0,1784283622799047
cross_stream,0,0,depth+color,5,0,1784283622832365
cross_stream,0,0,depth+color,4,0,1784283622865537
cross_stream,0,0,depth+color,5,0,1784283622898997
cross_stream,0,0,depth+color,4,0,1784283622932624
cross_stream,0,0,depth+color,4,0,1784283622965587
cross_stream,0,0,depth+color,5,0,1784283622998695
cross_stream,0,0,depth+color,4,0,1784283623032680
cross_stream,0,0,depth+color,5,0,1784283623065868
cross_stream,0,0,depth+color,4,0,1784283623098607
cross_stream,0,0,depth+color,5,0,1784283623132054
cross_stream,0,0,depth+color,4,0,1784283623165624
cross_stream,0,0,depth+color,4,0,1784283623198652
cross_stream,0,0,depth+color,5,0,1784283623232185
cross_stream,0,0,depth+color,4,0,1784283623265499
cross_stream,0,0,depth+color,5,0,1784283623299042
cross_stream,0,0,depth+color,4,0,1784283623332783
cross_stream,0,0,depth+color,5,0,1784283623365365
cross_stream,0,0,depth+color,4,0,1784283623399192
cross_stream,0,0,depth+color,5,0,1784283623432038
cross_stream,0,0,depth+color,4,0,1784283623465816
cross_stream,0,0,depth+color,5,0,1784283623498985
cross_stream,0,0,depth+color,5,0,1784283623532576
cross_stream,0,0,depth+color,5,0,1784283623565694
cross_stream,0,0,depth+color,5,0,1784283623598827
cross_stream,0,0,depth+color,4,0,1784283623632516
cross_stream,0,0,depth+color,5,0,1784283623666040
cross_stream,0,0,depth+color,5,0,1784283623698703
cross_stream,0,0,depth+color,4,0,1784283623732410
cross_stream,0,0,depth+color,5,0,1784283623765812
cross_stream,0,0,depth+color,4,0,1784283623798956
cross_stream,0,0,depth+color,4,0,1784283623832358
cross_stream,0,0,depth+color,5,0,1784283623865864
cross_stream,0,0,depth+color,5,0,1784283623898995
cross_stream,0,0,depth+color,4,0,1784283623932510
cross_stream,0,0,depth+color,4,0,1784283623965634
cross_stream,0,0,depth+color,4,0,1784283623998891
cross_stream,0,0,depth+color,5,0,1784283624032238
cross_stream,0,0,depth+color,4,0,1784283624065037
cross_stream,0,0,depth+color,4,0,1784283624099069
cross_stream,0,0,depth+color,4,0,1784283624132207
cross_stream,0,0,depth+color,4,0,1784283624165384
cross_stream,0,0,depth+color,5,0,1784283624198979
cross_stream,0,0,depth+color,4,0,1784283624232366
cross_stream,0,0,depth+color,5,0,1784283624265554
cross_stream,0,0,depth+color,5,0,1784283624299025
cross_stream,0,0,depth+color,4,0,1784283624332335
cross_stream,0,0,depth+color,5,0,1784283624366067
cross_stream,0,0,depth+color,5,0,1784283624398985
cross_stream,0,0,depth+color,5,0,1784283624432195
cross_stream,0,0,depth+color,5,0,1784283624464985
cross_stream,0,0,depth+color,5,0,1784283624498830
cross_stream,0,0,depth+color,5,0,1784283624532392
cross_stream,0,0,depth+color,5,0,1784283624565363
cross_stream,0,0,depth+color,5,0,1784283624598863
cross_stream,0,0,depth+color,5,0,1784283624631964
cross_stream,0,0,depth+color,4,0,1784283624665647
cross_stream,0,0,depth+color,5,0,1784283624698383
cross_stream,0,0,depth+color,5,0,1784283624732084
cross_stream,0,0,depth+color,5,0,1784283624765496
cross_stream,0,0,depth+color,5,0,1784283624798521
cross_stream,0,0,depth+color,5,0,1784283624832132
cross_stream,0,0,depth+color,5,0,1784283624865457
cross_stream,0,0,depth+color,5,0,1784283624898766
cross_stream,0,0,depth+color,5,0,1784283624932201
cross_stream,0,0,depth+color,4,0,1784283624965777
cross_stream,0,0,depth+color,5,0,1784283624998697
cross_stream,0,0,depth+color,5,0,1784283625032007
cross_stream,0,0,depth+color,5,0,1784283625065446
cross_stream,0,0,depth+color,5,0,1784283625098774
cross_stream,0,0,depth+color,5,0,1784283625131930
cross_stream,0,0,depth+color,4,0,1784283625165435
cross_stream,0,0,depth+color,4,0,1784283625198885
cross_stream,0,0,depth+color,5,0,1784283625231900
cross_stream,0,0,depth+color,4,0,1784283625265920
cross_stream,0,0,depth+color,4,0,1784283625298853
cross_stream,0,0,depth+color,5,0,1784283625332148
cross_stream,0,0,depth+color,5,0,1784283625365278
cross_stream,0,0,depth+color,5,0,1784283625398884
cross_stream,0,0,depth+color,5,0,1784283625432106
cross_stream,0,0,depth+color,5,0,1784283625465463
cross_stream,0,0,depth+color,5,0,1784283625499128
cross_stream,0,0,depth+color,4,0,1784283625532429
cross_stream,0,0,depth+color,5,0,1784283625565763
cross_stream,0,0,depth+color,5,0,1784283625599847
cross_stream,0,0,depth+color,5,0,1784283625632400
cross_stream,0,0,depth+color,5,0,1784283625665631
cross_stream,0,0,depth+color,4,0,1784283625698469
cross_stream,0,0,depth+color,5,0,1784283625731837
cross_stream,0,0,depth+color,5,0,1784283625764979
cross_stream,0,0,depth+color,5,0,1784283625798480
cross_stream,0,0,depth+color,4,0,1784283625832118
cross_stream,0,0,depth+color,4,0,1784283625865313
cross_stream,0,0,depth+color,4,0,1784283625898379
cross_stream,0,0,depth+color,4,0,1784283625932307
cross_stream,0,0,depth+color,4,0,1784283625965440
cross_stream,0,0,depth+color,4,0,1784283625998780
cross_stream,0,0,depth+color,4,0,1784283626031876
cross_stream,0,0,depth+color,5,0,1784283626065236
cross_stream,0,0,depth+color,4,0,1784283626098998
cross_stream,0,0,depth+color,5,0,1784283626131666
cross_stream,0,0,depth+color,5,0,1784283626165884
cross_stream,0,0,depth+color,5,0,1784283626198789
cross_stream,0,0,depth+color,5,0,1784283626231841
cross_stream,0,0,depth+color,5,0,1784283626265685
cross_stream,0,0,depth+color,4,0,1784283626298737
cross_stream,0,0,depth+color,4,0,1784283626331949
cross_stream,0,0,depth+color,4,0,1784283626365488
cross_stream,0,0,depth+color,5,0,1784283626398339
cross_stream,0,0,depth+color,4,0,1784283626432235
cross_stream,0,0,depth+color,4,0,1784283626465450
cross_stream,0,0,depth+color,4,0,1784283626498825
cross_stream,0,0,depth+color,5,0,1784283626532634
cross_stream,0,0,depth+color,4,0,1784283626565408
cross_stream,0,0,depth+color,5,0,1784283626598828
cross_stream,0,0,depth+color,4,0,1784283626631796
cross_stream,0,0,depth+color,4,0,1784283626665172
cross_stream,0,0,depth+color,4,0,1784283626698774
cross_stream,0,0,depth+color,5,0,1784283626731898
cross_stream,0,0,depth+color,5,0,1784283626765434
cross_stream,0,0,depth+color,4,0,1784283626798793
